"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
39,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
52,CA-2015-115742,4/18/2015,4/22/2015,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,"Longer-Life Soft White Bulbs",6.16,2,0,2.9568
53,CA-2015-115742,4/18/2015,4/22/2015,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States","New Albany",Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
58,CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,"Ted Butterfield",Consumer,"United States",Troy,"New York",12180,East,FUR-CH-10003968,Furniture,Chairs,"Novimex Turbo Task Chair",319.41,5,0.1,7.098
66,CA-2015-135545,11/24/2015,11/30/2015,"Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","Los Angeles",California,90004,West,FUR-FU-10000397,Furniture,Furnishings,"Luxo Economy Swing Arm Lamp",79.76,4,0,22.3328
67,US-2015-164175,4/30/2015,"2015-05-05 00:00:00","Standard Class",PS-18970,"Paul Stevenson","Home Office","United States",Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
73,US-2015-134026,4/26/2015,"2015-02-05 00:00:00","Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,"High-Back Leather Manager's Chair",831.936,8,0.2,-114.3912
74,US-2015-134026,4/26/2015,"2015-02-05 00:00:00","Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"""",97.04,2,0.2,1.213
79,US-2014-147606,11/26/2014,"2014-01-12 00:00:00","Second Class",JE-15745,"Joel Eaton",Consumer,"United States",Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
86,CA-2017-140088,5/28/2017,5/30/2017,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Columbia,"South Carolina",29203,South,FUR-CH-10000863,Furniture,Chairs,"Novimex Swivel Fabric Task Chair",301.96,2,0,33.2156
94,CA-2015-149587,1/31/2015,"2015-05-02 00:00:00","Second Class",KB-16315,"Karl Braun",Consumer,"United States",Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2" Wall Clock"",53.34,3,0,16.5354
97,CA-2017-161018,"2017-09-11 00:00:00","2017-11-11 00:00:00","Second Class",PN-18775,"Parhena Norris","Home Office","United States","New York City","New York",10009,East,FUR-FU-10000629,Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock",96.53,7,0,40.5426
105,US-2015-156867,11/13/2015,11/17/2015,"Standard Class",LC-16870,"Lena Cacioppo",Consumer,"United States",Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
111,CA-2017-146780,12/25/2017,12/30/2017,"Standard Class",CV-12805,"Cynthia Voltz",Corporate,"United States","New York City","New York",10035,East,FUR-FU-10001934,Furniture,Furnishings,"Magnifier Swing Arm Lamp",41.96,2,0,10.9096
118,CA-2015-110457,"2015-02-03 00:00:00","2015-06-03 00:00:00","Standard Class",DK-13090,"Dave Kipp",Consumer,"United States",Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,"Hon Racetrack Conference Tables",787.53,3,0,165.3813
120,CA-2016-103730,"2016-12-06 00:00:00",6/15/2016,"First Class",SC-20725,"Steven Cartwright",Consumer,"United States",Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,"Artistic Insta-Plaque",47.04,3,0,18.3456
125,US-2014-152030,12/26/2014,12/28/2014,"Second Class",AD-10180,"Alan Dominguez","Home Office","United States",Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair",600.558,3,0.3,-8.5794
126,US-2014-134614,9/20/2014,9/25/2014,"Standard Class",PF-19165,"Philip Fox",Consumer,"United States",Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,"Bevis 44 x 96 Conference Tables",617.7,6,0.5,-407.682
129,US-2016-125969,"2016-06-11 00:00:00","2016-10-11 00:00:00","Second Class",LS-16975,"Lindsay Shagiari","Home Office","United States","Los Angeles",California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
130,US-2016-125969,"2016-06-11 00:00:00","2016-10-11 00:00:00","Second Class",LS-16975,"Lindsay Shagiari","Home Office","United States","Los Angeles",California,90004,West,FUR-FU-10003773,Furniture,Furnishings,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",238.56,3,0,26.2416
140,CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",LC-16885,"Lena Creighton",Consumer,"United States",Roseville,California,95661,West,FUR-FU-10001706,Furniture,Furnishings,"Longer-Life Soft White Bulbs",43.12,14,0,20.6976
141,CA-2016-110366,"2016-05-09 00:00:00","2016-07-09 00:00:00","Second Class",JD-15895,"Jonathan Doherty",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",82.8,2,0.2,10.35
147,CA-2014-110072,10/22/2014,10/28/2014,"Standard Class",MG-17680,"Maureen Gastineau","Home Office","United States",Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14" Putty-Colored Wall Clock"",93.888,4,0.2,12.9096
150,CA-2016-114489,"2016-05-12 00:00:00","2016-09-12 00:00:00","Standard Class",JE-16165,"Justin Ellison",Corporate,"United States",Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
158,CA-2014-104269,"2014-01-03 00:00:00","2014-06-03 00:00:00","Second Class",DB-13060,"Dave Brooks",Consumer,"United States",Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair",457.568,2,0.2,51.4764
168,CA-2014-139892,"2014-08-09 00:00:00","2014-12-09 00:00:00","Standard Class",BM-11140,"Becky Martin",Consumer,"United States","San Antonio",Texas,78207,Central,FUR-CH-10004287,Furniture,Chairs,"SAFCO Arco Folding Chair",1740.06,9,0.3,-24.858
